itinerary_id,itinerary_name,kind,park_scope,area,tpw_1_name,tpw_1_id,tpw_1_type,tpw_1_park,tpw_1_latitude,tpw_1_longitude,tpw_1_score,tpw_2_name,tpw_2_id,tpw_2_type,tpw_2_park,tpw_2_latitude,tpw_2_longitude,tpw_2_score,tpw_3_name,tpw_3_id,tpw_3_type,tpw_3_park,tpw_3_latitude,tpw_3_longitude,tpw_3_score,queue_1_name,queue_1_id,queue_1_type,queue_1_park,queue_1_latitude,queue_1_longitude,queue_1_score,queue_2_name,queue_2_id,queue_2_type,queue_2_park,queue_2_latitude,queue_2_longitude,queue_2_score,queue_3_name,queue_3_id,queue_3_type,queue_3_park,queue_3_latitude,queue_3_longitude,queue_3_score,selected_tpw_candidate,selected_queue_candidate,match_status,review_note,catalog_id,manual_latitude,manual_longitude,coordinate_parse_status,coordinate_status,coordinate_warning,coordinate_normalization_note,recommended_next_status,review_note_exported
gringotts,Escape from Gringotts,lightning,Universal Studios Florida,Diagon Alley,,,,,,,,,,,,,,,,,,,,,,Harry Potter and the Escape from Gringotts™,6014,ATTRACTION,Universal Studios Florida,,,1,Harry Potter and the Escape from Gringotts™ Single Rider,15416,ATTRACTION,Universal Studios Florida,,,1,Despicable Me Minion Mayhem™,5984,ATTRACTION,Universal Studios Florida,,,0.492,,1,APPROVED,,gringotts,,,NO_COORDINATE,MISSING,,,APPROVED,
hagrid,Hagrid’s Magical Creatures Motorbike Adventure,planned,Islands of Adventure,Hogsmeade,,,,,,,,,,,,,,,,,,,,,,Hagrid's Magical Creatures Motorbike Adventure™,6682,ATTRACTION,Islands of Adventure,,,1,Jurassic Park River Adventure,5994,ATTRACTION,Islands of Adventure,,,0.4664,Hogwarts Express™ - Hogsmeade™ Station,6015,ATTRACTION,Islands of Adventure,,,0.4276,,1,APPROVED,,hagrid,,,NO_COORDINATE,MISSING,,,APPROVED,
haunted,Haunted Mansion,lightning,Magic Kingdom,Liberty Square,,,,,,,,,,,,,,,,,,,,,,Haunted Mansion,140,ATTRACTION,Magic Kingdom,,,1,Enchanted Tales with Belle,128,ATTRACTION,Magic Kingdom,,,0.4971,Peter Pan's Flight,136,ATTRACTION,Magic Kingdom,,,0.4558,,1,APPROVED,,haunted,,,NO_COORDINATE,MISSING,,,APPROVED,
icecream,Florean ice-cream flight + Honeydukes cooler bag,extra,Universal Studios Florida,Diagon Alley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNRESOLVED,"28.4712° N, 81.4688° W",icecream,28.479623,-81.469924,PARSED_DECIMAL,VERIFIED_MANUAL,,,MANUAL,"28.4712° N, 81.4688° W"
jiko,Jiko dinner,meal,Animal Kingdom Lodge,Animal Kingdom Lodge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNRESOLVED,"28.3529° N, 81.6027° W",jiko,28.352066,-81.60335,PARSED_DECIMAL,VERIFIED_MANUAL,,,MANUAL,"28.3529° N, 81.6027° W"
leaky,Leaky Cauldron breakfast,meal,Universal Studios Florida,Diagon Alley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNRESOLVED,"28.4794619, -81.4695657",leaky,28.479586,-81.469616,PARSED_DECIMAL,VERIFIED_MANUAL,,,MANUAL,"28.4794619, -81.4695657"
lion,Festival of the Lion King,show,Animal Kingdom,Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNRESOLVED,"28.3585° N, 81.5905° W",lion,28.358264,-81.59281,PARSED_DECIMAL,VERIFIED_MANUAL,,,MANUAL,"28.3585° N, 81.5905° W"
maharajah,Maharajah Jungle Trek,planned,Animal Kingdom,Asia · optional,,,,,,,,,,,,,,,,,,,,,,Kilimanjaro Safaris,113,ATTRACTION,Animal Kingdom,,,0.4075,Na'vi River Journey,4438,ATTRACTION,Animal Kingdom,,,0.4075,Meet Moana at Character Landing,12451,ATTRACTION,Animal Kingdom,,,0.405,,,UNRESOLVED,"28.3600° N, 81.5892° W",maharajah,28.359209,-81.589014,PARSED_DECIMAL,VERIFIED_MANUAL,,,MANUAL,"28.3600° N, 81.5892° W"
minion,Despicable Me Minion Mayhem,lightning,Universal Studios Florida,Minion Land,,,,,,,,,,,,,,,,,,,,,,Despicable Me Minion Mayhem™,5984,ATTRACTION,Universal Studios Florida,,,1,Ollivanders™ Experience in Diagon Alley™,13100,ATTRACTION,Universal Studios Florida,,,0.4626,Illumination's Villain-Con Minion Blast,12107,ATTRACTION,Universal Studios Florida,,,0.4601,,1,APPROVED,,minion,,,NO_COORDINATE,MISSING,,,APPROVED,
ministry,Ministry of Magic,planned,Epic Universe,Wizarding Paris / Ministry,,,,,,,,,,,,,,,,,,,,,,Curse of the Werewolf,14692,ATTRACTION,Epic Universe,,,0.4412,Mine-Cart Madness™,14686,ATTRACTION,Epic Universe,,,0.4328,Stardust Racers,14690,ATTRACTION,Epic Universe,,,0.4238,,,UNRESOLVED,"28.435° N, 81.445° W",ministry,28.441938,-81.447759,PARSED_DECIMAL,VERIFIED_MANUAL,,,MANUAL,"28.435° N, 81.445° W"
