itinerary_id,itinerary_name,kind,park_scope,area,tpw_1_name,tpw_1_id,tpw_1_type,tpw_1_park,tpw_1_latitude,tpw_1_longitude,tpw_1_score,tpw_2_name,tpw_2_id,tpw_2_type,tpw_2_park,tpw_2_latitude,tpw_2_longitude,tpw_2_score,tpw_3_name,tpw_3_id,tpw_3_type,tpw_3_park,tpw_3_latitude,tpw_3_longitude,tpw_3_score,queue_1_name,queue_1_id,queue_1_type,queue_1_park,queue_1_latitude,queue_1_longitude,queue_1_score,queue_2_name,queue_2_id,queue_2_type,queue_2_park,queue_2_latitude,queue_2_longitude,queue_2_score,queue_3_name,queue_3_id,queue_3_type,queue_3_park,queue_3_latitude,queue_3_longitude,queue_3_score,selected_tpw_candidate,selected_queue_candidate,match_status,review_note
space,Space Mountain,planned,Magic Kingdom,Tomorrowland,,,,,,,,,,,,,,,,,,,,,,Space Mountain,138,ATTRACTION,Magic Kingdom,,,1.0,Big Thunder Mountain Railroad,130,ATTRACTION,Magic Kingdom,,,0.5523,Haunted Mansion,140,ATTRACTION,Magic Kingdom,,,0.4938,,1,REVIEW,
breakfast,Friar’s Nook breakfast,meal,Magic Kingdom,Fantasyland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,REVIEW,
tiana,Tiana’s Bayou Adventure,lightning,Magic Kingdom,Frontierland,,,,,,,,,,,,,,,,,,,,,,Tiana's Bayou Adventure,13630,ATTRACTION,Magic Kingdom,,,1.0,The Many Adventures of Winnie the Pooh,142,ATTRACTION,Magic Kingdom,,,0.4989,A Pirate's Adventure ~ Treasures of the Seven Seas,1184,ATTRACTION,Magic Kingdom,,,0.476,,1,REVIEW,
haunted,Haunted Mansion,lightning,Magic Kingdom,Liberty Square,,,,,,,,,,,,,,,,,,,,,,Haunted Mansion,140,ATTRACTION,Magic Kingdom,,,1.0,Enchanted Tales with Belle,128,ATTRACTION,Magic Kingdom,,,0.4971,Peter Pan's Flight,136,ATTRACTION,Magic Kingdom,,,0.4558,,1,REVIEW,
pirates,Pirates of the Caribbean,lightning,Magic Kingdom,Adventureland,,,,,,,,,,,,,,,,,,,,,,Pirates of the Caribbean,137,ATTRACTION,Magic Kingdom,,,1.0,The Hall of Presidents,356,ATTRACTION,Magic Kingdom,,,0.5579,The Magic Carpets of Aladdin,141,ATTRACTION,Magic Kingdom,,,0.5338,,1,REVIEW,
nintendo,Super Nintendo World priorities,planned,Epic Universe,Super Nintendo World,,,,,,,,,,,,,,,,,,,,,,Curse of the Werewolf Single Rider,14698,ATTRACTION,Epic Universe,,,0.4144,Mario Kart™: Bowser's Challenge Single Rider,14684,ATTRACTION,Epic Universe,,,0.388,Monsters Unchained: The Frankenstein Experiment Single Rider,16644,ATTRACTION,Epic Universe,,,0.3765,,1,REVIEW,
ministry,Ministry of Magic,planned,Epic Universe,Wizarding Paris / Ministry,,,,,,,,,,,,,,,,,,,,,,Curse of the Werewolf,14692,ATTRACTION,Epic Universe,,,0.4412,Mine-Cart Madness™,14686,ATTRACTION,Epic Universe,,,0.4328,Stardust Racers,14690,ATTRACTION,Epic Universe,,,0.4238,,1,REVIEW,
berk,The Untrainable Dragon,show,Epic Universe,Isle of Berk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,REVIEW,
monsters,Monsters Unchained,planned,Epic Universe,Dark Universe,,,,,,,,,,,,,,,,,,,,,,Monsters Unchained: The Frankenstein Experiment,14694,ATTRACTION,Epic Universe,,,1.0,Monsters Unchained: The Frankenstein Experiment Single Rider,16644,ATTRACTION,Epic Universe,,,1.0,Bowser Jr. Challenge,14682,ATTRACTION,Epic Universe,,,0.5314,,1,REVIEW,
blue,Blue Dragon dinner,meal,Epic Universe,Celestial Park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,REVIEW,
goodnight,Celestial Goodnight,show,Epic Universe,Celestial Park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,REVIEW,
hagrid,Hagrid’s Magical Creatures Motorbike Adventure,planned,Islands of Adventure,Hogsmeade,,,,,,,,,,,,,,,,,,,,,,Hagrid's Magical Creatures Motorbike Adventure™,6682,ATTRACTION,Islands of Adventure,,,1.0,Jurassic Park River Adventure,5994,ATTRACTION,Islands of Adventure,,,0.4664,Hogwarts Express™ - Hogsmeade™ Station,6015,ATTRACTION,Islands of Adventure,,,0.4276,,1,REVIEW,
forbidden,Harry Potter and the Forbidden Journey,lightning,Islands of Adventure,Hogsmeade,,,,,,,,,,,,,,,,,,,,,,Harry Potter and the Forbidden Journey™,5992,ATTRACTION,Islands of Adventure,,,1.0,Harry Potter and the Forbidden Journey™ Single Rider,13113,ATTRACTION,Islands of Adventure,,,1.0,Popeye & Bluto's Bilge-Rat Barges®,5998,ATTRACTION,Islands of Adventure,,,0.4976,,1,REVIEW,
breakfast,Three Broomsticks breakfast,meal,Islands of Adventure,Hogsmeade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,REVIEW,
ollivanders,Ollivanders and wand purchase,show,Islands of Adventure,Hogsmeade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,REVIEW,
express,Optional Hogwarts Express evening extension,planned,Islands of Adventure,Hogsmeade ↔ Diagon Alley,,,,,,,,,,,,,,,,,,,,,,Hogwarts Express™ - Hogsmeade™ Station,6015,ATTRACTION,Islands of Adventure,,,0.6089,The High in the Sky Seuss Trolley Train Ride!™,6001,ATTRACTION,Islands of Adventure,,,0.4178,The Incredible Hulk Coaster® Single Rider,15384,ATTRACTION,Islands of Adventure,,,0.4104,,1,REVIEW,
mythos,Mythos lunch,meal,Islands of Adventure,The Lost Continent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,REVIEW,
water,Water rides or remaining priorities,planned,Islands of Adventure,Toon Lagoon / Jurassic Park,,,,,,,,,,,,,,,,,,,,,,Harry Potter and the Forbidden Journey™,5992,ATTRACTION,Islands of Adventure,,,0.4363,The Amazing Adventures of Spider-Man®,5985,ATTRACTION,Islands of Adventure,,,0.4128,Hogwarts Express™ - Hogsmeade™ Station,6015,ATTRACTION,Islands of Adventure,,,0.3937,,1,REVIEW,
leaky,Leaky Cauldron breakfast,meal,Universal Studios Florida,Diagon Alley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,REVIEW,
shutter,Shutterbutton’s Photography Studio,extra,Universal Studios Florida,Diagon Alley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,REVIEW,
gringotts,Escape from Gringotts,lightning,Universal Studios Florida,Diagon Alley,,,,,,,,,,,,,,,,,,,,,,Harry Potter and the Escape from Gringotts™,6014,ATTRACTION,Universal Studios Florida,,,1.0,Harry Potter and the Escape from Gringotts™ Single Rider,15416,ATTRACTION,Universal Studios Florida,,,1.0,Despicable Me Minion Mayhem™,5984,ATTRACTION,Universal Studios Florida,,,0.492,,1,REVIEW,
minion,Despicable Me Minion Mayhem,lightning,Universal Studios Florida,Minion Land,,,,,,,,,,,,,,,,,,,,,,Despicable Me Minion Mayhem™,5984,ATTRACTION,Universal Studios Florida,,,1.0,Ollivanders™ Experience in Diagon Alley™,13100,ATTRACTION,Universal Studios Florida,,,0.4626,Illumination's Villain-Con Minion Blast,12107,ATTRACTION,Universal Studios Florida,,,0.4601,,1,REVIEW,
icecream,Florean ice-cream flight + Honeydukes cooler bag,extra,Universal Studios Florida,Diagon Alley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,REVIEW,
bourne,The Bourne Stuntacular,show,Universal Studios Florida,Hollywood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,REVIEW,
